HH_num,GenderHOH,AgeHOH,SizeHH,HHID,HH_ISO,HHType,Lang,Lang_P,Surname,Address,PostCode,Country,NationalityLP,NationalityNat
1,M,25,1,ALB_0,ALB,1B,,,Jordan,"431 Ronald Mall Apt. 917
Karinafurt, CO 06177",24059,ALB,,ALB
2,F,40,4,ALB_1,ALB,2A,,it_IT,Vasari,"1005 Bush Inlet
Port Jenniferhaven, SC 09525",10240,ALB,it_IT,COG
3,F,44,1,ALB_2,ALB,1B,,,Moore,"Unit 2333 Box 6364
DPO AE 95560",66431,ALB,,ALB
4,M,48,3,ALB_3,ALB,2A,,,Hansen,"58319 Golden Groves
North Stevenburgh, VA 49704",02939,ALB,,ALB
5,M,51,1,ALB_4,ALB,1B,,,Hall,"PSC 2577, Box 5476
APO AP 27155",99558,ALB,,ALB
6,M,36,3,ALB_5,ALB,2A,,,Carpenter,"62498 Rodriguez Haven Suite 688
Valerieside, NH 94359",21936,ALB,,ALB
7,F,76,1,ALB_6,ALB,1B,,,Salazar,"80724 Cook Meadow Apt. 188
New Samanthatown, NH 59983",87297,ALB,,ALB
8,M,54,3,ALB_7,ALB,2A,,,Underwood,"817 Heather Station
North Thomasfort, MN 60397",81573,ALB,,ALB
9,M,54,2,ALB_8,ALB,2B,,,Rhodes,"644 Robinson Corner
Morganmouth, KS 43874",66794,ALB,,ALB
10,M,29,3,ALB_9,ALB,3AB,,,Allison,"236 Haynes Common
Lake Joshua, VA 45128",26978,ALB,,ALB
11,F,66,1,ALB_10,ALB,1B,,,Roberts,"85323 Daniel Dam Apt. 189
Port Jamesbury, CO 84677",38683,ALB,,ALB
12,M,79,3,ALB_11,ALB,3AB,,en_AU,Thompson,"44488 Maria Mountain Apt. 250
Ruizmouth, MS 95175",42823,ALB,en_AU,BLZ
13,M,42,3,AUT_0,AUT,2A,de_AT,de_AT,Wiesbauer,"Stockplatz 0/2
4269 Bärnbach",4353,AUT,de_AT,AUT
14,M,60,2,BGR_0,BGR,2B,,,Gould,"71503 Anderson Road
Elizabethland, WA 52158",53792,BGR,,BGR
15,M,53,5,BLR_0,BLR,3AB,ru_RU,ru_RU,Попова,"д. Дмитров, бул. Курчатова, д. 1 стр. 294, 862587",626397,BLR,ru_RU,BLR
16,M,44,4,BWA_0,BWA,2A,af_ZA,ko_KR,김,"8517 Kelly Route Suite 208
Marktown, MN 03955",70936,BWA,ko_KR,PRT
17,M,57,1,BWA_1,BWA,1B,af_ZA,en_AU,Howe,"3087 Michelle Knoll
Port Alanville, MS 50647",08286,BWA,en_AU,GBR
18,M,48,3,BWA_2,BWA,2A,af_ZA,af_ZA,Hunt,"PSC 7496, Box 9701
APO AA 34034",00851,BWA,af_ZA,BWA
19,F,32,1,BWA_3,BWA,1B,af_ZA,af_ZA,Lee,"3838 Lindsay Keys
Piercebury, NM 17179",37823,BWA,af_ZA,BWA
20,F,36,1,BWA_4,BWA,1B,af_ZA,af_ZA,Davies,"3411 Jones Heights Apt. 491
West Chase, SC 71688",42298,BWA,af_ZA,BWA
