HH_num,GenderHOH,AgeHOH,SizeHH,HHID,HH_ISO,HHType,Lang,Lang_P,Surname,Address,PostCode,Country,NationalityLP,NationalityNat,ISO_Travel,IATA_O,Behaviour_1,Behaviour_2,Behaviour_3
1,M,25,1,ALB_0,ALB,1B,,,Jordan,"431 Ronald Mall Apt. 917
Karinafurt, CO 06177",24059,ALB,,ALB,GRC,CDG,"['DXB', 'leisure', 'solo', 1]","['AMS', 'business', 'business', 0]","['OTP', 'group', 'group', 0]"
2,F,40,4,ALB_1,ALB,2A,,it_IT,Vasari,"1005 Bush Inlet
Port Jenniferhaven, SC 09525",10240,ALB,it_IT,COG,GRC,CDG,"['MEX', 'business', 'business', 0]","['ORK', 'business', 'business', 0]","['CDG', 'group', 'group', 0]"
3,F,44,1,ALB_2,ALB,1B,,,Moore,"Unit 2333 Box 6364
DPO AE 95560",66431,ALB,,ALB,GRC,DXB,"['HEL', 'leisure', 'solo', 1]","['IAD', 'leisure', 'solo', 1]","['DUB', 'leisure', 'solo', 1]"
4,M,48,3,ALB_3,ALB,2A,,,Hansen,"58319 Golden Groves
North Stevenburgh, VA 49704",02939,ALB,,ALB,GRC,DXB,"['AMS', 'leisure', 'couple', 2]","['ZRH', 'leisure', 'couple', 2]","['GRU', 'leisure', 'family', 3]"
5,M,51,1,ALB_4,ALB,1B,,,Hall,"PSC 2577, Box 5476
APO AP 27155",99558,ALB,,ALB,GRC,DXB,"['GOT', 'business', 'business', 0]","['DXB', 'leisure', 'solo', 1]","['KUL', 'leisure', 'solo', 1]"
6,M,36,3,ALB_5,ALB,2A,,,Carpenter,"62498 Rodriguez Haven Suite 688
Valerieside, NH 94359",21936,ALB,,ALB,GRC,IST,"['VIE', 'leisure', 'family', 3]","['CPH', 'leisure', 'family', 3]","['LHR', 'leisure', 'family', 3]"
7,F,76,1,ALB_6,ALB,1B,,,Salazar,"80724 Cook Meadow Apt. 188
New Samanthatown, NH 59983",87297,ALB,,ALB,GRC,CDG,"['KEF', 'leisure', 'solo', 1]","['ZRH', 'leisure', 'solo', 1]","['MAN', 'leisure', 'solo', 1]"
8,M,54,3,ALB_7,ALB,2A,,,Underwood,"817 Heather Station
North Thomasfort, MN 60397",81573,ALB,,ALB,GRC,IST,"['LHR', 'leisure', 'couple', 2]","['CPH', 'leisure', 'couple', 2]","['DXB', 'leisure', 'couple', 2]"
9,M,54,2,ALB_8,ALB,2B,,,Rhodes,"644 Robinson Corner
Morganmouth, KS 43874",66794,ALB,,ALB,GRC,IST,"['ALG', 'leisure', 'couple', 2]","['VIE', 'leisure', 'couple', 2]","['NCL', 'group', 'group', 0]"
10,M,29,3,ALB_9,ALB,3AB,,,Allison,"236 Haynes Common
Lake Joshua, VA 45128",26978,ALB,,ALB,GRC,DXB,"['ZRH', 'leisure', 'family', 3]","['CDG', 'leisure', 'family', 3]","['IAD', 'leisure', 'family', 3]"
11,F,66,1,ALB_10,ALB,1B,,,Roberts,"85323 Daniel Dam Apt. 189
Port Jamesbury, CO 84677",38683,ALB,,ALB,GRC,IST,"['PHL', 'leisure', 'solo', 1]","['LHR', 'leisure', 'solo', 1]","['ZRH', 'leisure', 'solo', 1]"
12,M,79,3,ALB_11,ALB,3AB,,en_AU,Thompson,"44488 Maria Mountain Apt. 250
Ruizmouth, MS 95175",42823,ALB,en_AU,BLZ,GRC,DXB,"['FRA', 'group', 'group', 0]","['SXF', 'business', 'business', 0]","['TXL', 'leisure', 'family', 3]"
13,M,42,3,AUT_0,AUT,2A,de_AT,de_AT,Wiesbauer,"Stockplatz 0/2
4269 Bärnbach",4353,AUT,de_AT,AUT,AUT,DXB,"['ZRH', 'business', 'business', 0]","['ATH', 'business', 'business', 0]","['ORD', 'group', 'group', 0]"
14,M,60,2,BGR_0,BGR,2B,,,Gould,"71503 Anderson Road
Elizabethland, WA 52158",53792,BGR,,BGR,BGR,IST,"['SXF', 'business', 'business', 0]","['STN', 'leisure', 'couple', 2]","['LHR', 'leisure', 'couple', 2]"
15,M,53,5,BLR_0,BLR,3AB,ru_RU,ru_RU,Попова,"д. Дмитров, бул. Курчатова, д. 1 стр. 294, 862587",626397,BLR,ru_RU,BLR,RUS,AUH,"['DOH', 'group', 'group', 0]","['YYZ', 'leisure', 'family', 5]","['JFK', 'leisure', 'family', 5]"
16,M,44,4,BWA_0,BWA,2A,af_ZA,ko_KR,김,"8517 Kelly Route Suite 208
Marktown, MN 03955",70936,BWA,ko_KR,PRT, DZA,AUH,"['GOT', 'group', 'group', 0]","['ZRH', 'group', 'group', 0]","['FRA', 'leisure', 'family', 4]"
17,M,57,1,BWA_1,BWA,1B,af_ZA,en_AU,Howe,"3087 Michelle Knoll
Port Alanville, MS 50647",08286,BWA,en_AU,GBR, TUR,IST,"['MUC', 'group', 'group', 0]","['NUE', 'leisure', 'solo', 1]","['MAD', 'leisure', 'solo', 1]"
18,M,48,3,BWA_2,BWA,2A,af_ZA,af_ZA,Hunt,"PSC 7496, Box 9701
APO AA 34034",00851,BWA,af_ZA,BWA, DZA,DXB,"['FCO', 'business', 'business', 0]","['CPH', 'leisure', 'family', 3]","['BUD', 'leisure', 'couple', 2]"
19,F,32,1,BWA_3,BWA,1B,af_ZA,af_ZA,Lee,"3838 Lindsay Keys
Piercebury, NM 17179",37823,BWA,af_ZA,BWA, ZAF,AUH,"['MUC', 'leisure', 'solo', 1]","['LHR', 'leisure', 'solo', 1]","['ORY', 'business', 'business', 0]"
20,F,36,1,BWA_4,BWA,1B,af_ZA,af_ZA,Davies,"3411 Jones Heights Apt. 491
West Chase, SC 71688",42298,BWA,af_ZA,BWA, MAR,CDG,"['AMS', 'leisure', 'solo', 1]","['HEL', 'leisure', 'solo', 1]","['LHR', 'leisure', 'solo', 1]"
21,M,43,5,BWA_5,BWA,2A,af_ZA,fr_CH,Pellet,"4007 Becky Cove Suite 236
New Donald, MP 60674",18404,BWA,fr_CH,GEO, TUR,DXB,"['FCO', 'leisure', 'couple', 2]","['LHR', 'business', 'business', 0]","['MUC', 'leisure', 'family', 5]"
22,M,73,2,BWA_6,BWA,2B,af_ZA,af_ZA,Sims,"8389 Wilson Summit Suite 583
North Heathertown, SD 43829",13210,BWA,af_ZA,BWA,SEN,DXB,"['LHR', 'leisure', 'couple', 2]","['AMS', 'leisure', 'couple', 2]","['MAD', 'leisure', 'couple', 2]"
23,M,40,5,BWA_7,BWA,2A,af_ZA,af_ZA,Butler,"7649 Sean Island
East Andrew, PR 48364",20489,BWA,af_ZA,BWA, TUR,DXB,"['DUS', 'business', 'business', 0]","['ALC', 'leisure', 'family', 5]","['ATH', 'business', 'business', 0]"
24,M,70,3,BWA_8,BWA,2A,af_ZA,af_ZA,Williams,"877 Barrett Pike Apt. 147
South Joshuamouth, DC 98522",25925,BWA,af_ZA,BWA, MAR,DXB,"['MUC', 'leisure', 'couple', 2]","['CDG', 'leisure', 'couple', 2]","['FRA', 'leisure', 'couple', 2]"
