P_num,HHID,P_ID,P_AGE,AgeRange,AgeGroup,P_GENDER,GenderHOH,AgeHOH,SizeHH,HH_ISO,HHType,Lang,Surname,Address,PostCode,Country,FirstName,DOB,FreeEmail,PaymentInfo_VendorCode,PaymentInfo_ExpiryDate,PaymentInfo_AccountNbr,WorkEmail,DOCS_ExpiryDate,DOC_FirstName,DOC_Surname,TYP_FirstName,TYP_Surname,NationalityNat
1,ALB_0,ALB_0_1,25,25-29,AGE6,M,M,25,1,ALB,1B,,Jordan,"431 Ronald Mall Apt. 917
Karinafurt, CO 06177",24059,ALB,James,1996-08-19,mirandamichael@gmail.com,JCB 15 digit,2025-11-12,3547482627612660,snyderdustin@daniel.com,2024-11-05,James,Jordan,James,Jordan,ALB
2,ALB_1,ALB_1_1,40,40-44,AGE9,F,F,40,4,ALB,2A,,Vasari,"1005 Bush Inlet
Port Jenniferhaven, SC 09525",10240,ALB,Summer,1981-04-05,bakerryan@hotmail.com,JCB 16 digit,2023-07-27,376382455000388,ashley69@henderson.com,2025-08-15,Summer,Vasari,Summer,Vasari,COG
3,ALB_1,ALB_1_2,2,0-4,AGE1,F,F,40,4,ALB,2A,,Vasari,"1005 Bush Inlet
Port Jenniferhaven, SC 09525",10240,ALB,Danielle,2019-12-23,-,-,-,-,-,2022-06-19,Danielle,Vasari,Danielle,Vasari,COG
4,ALB_1,ALB_1_3,1,0-4,AGE1,M,F,40,4,ALB,2A,,Vasari,"1005 Bush Inlet
Port Jenniferhaven, SC 09525",10240,ALB,Matthew,2020-03-05,-,-,-,-,-,2025-12-24,Matthew,Vasari,Matthew,Vasari,COG
5,ALB_1,ALB_1_4,7,5-9,AGE2,F,F,40,4,ALB,2A,,Vasari,"1005 Bush Inlet
Port Jenniferhaven, SC 09525",10240,ALB,Jennifer,2014-03-09,-,-,-,-,-,2026-11-17,Jennifer,Vasari,Jennifer,Vasari,COG
6,ALB_2,ALB_2_1,44,40-44,AGE9,F,F,44,1,ALB,1B,,Moore,"Unit 2333 Box 6364
DPO AE 95560",66431,ALB,Jasmine,1977-12-22,jennifer10@gmail.com,VISA 13 digit,2026-01-02,213147936371055,daisyhall@holmes-flores.com,2022-01-02,Jasmine,Moore,Jasmine,Moore,ALB
7,ALB_3,ALB_3_1,48,45-49,AGE10,M,M,48,3,ALB,2A,,Hansen,"58319 Golden Groves
North Stevenburgh, VA 49704",02939,ALB,Robert,1973-08-08,cscott@yahoo.com,Mastercard,2026-07-04,30270847609123,richardsonmartha@riley.com,2025-09-08,Robert,Hansen,Robert,Hansen,ALB
8,ALB_3,ALB_3_2,11,10-14,AGE3,M,M,48,3,ALB,2A,,Hansen,"58319 Golden Groves
North Stevenburgh, VA 49704",02939,ALB,Christopher,2010-11-07,lkelly@gmail.com,-,-,-,-,2023-09-19,Christopher,Hansen,Christopher,Hansen,ALB
9,ALB_3,ALB_3_3,14,10-14,AGE3,F,M,48,3,ALB,2A,,Hansen,"58319 Golden Groves
North Stevenburgh, VA 49704",02939,ALB,Ashley,2007-07-07,christina04@yahoo.com,-,-,-,-,2022-08-23,Ashley,Hansen,Ashley,Hansen,ALB
10,ALB_4,ALB_4_1,51,50-54,AGE11,M,M,51,1,ALB,1B,,Hall,"PSC 2577, Box 5476
APO AP 27155",99558,ALB,Philip,1970-01-25,marycalderon@hotmail.com,Mastercard,2024-12-09,38625921258281,randall96@hardy.org,2023-09-19,Philip,Hall,Philip,Hall,ALB
