HHID,P_ID,P_AGE,AgeRange,AgeGroup,P_GENDER,GenderHOH,AgeHOH,SizeHH,HH_ISO,HHType,Lang,Surname,Address,PostCode,Country,FirstName,DOB,FreeEmail,PaymentInfo_VendorCode,PaymentInfo_ExpiryDate,PaymentInfo_AccountNbr,WorkEmail,DOCS_ExpiryDate,DOC_FirstName,DOC_Surname
ALB_0,ALB_0_1,79,75-79,AGE16,M,M,79,1,ALB,1B,,김,"64427 Porter Spring
North Marissa, OH 94241",18335,ALB,Anthony,1942-06-29,veronicajones@yahoo.com,Maestro,2022-06-20,3541827897773731,julianwebster@henderson-moore.info,2026-10-14,Anthony,gim
ALB_1,ALB_1_1,39,35-39,AGE8,M,M,39,3,ALB,2A,,Oneal,"4474 Mccullough Lane
Georgeborough, PA 06412",75286,ALB,Timothy,1982-10-13,samantha09@gmail.com,Diners Club / Carte Blanche,2023-12-12,36124631504467,jray@smith.net,2026-03-30,Timothy,Oneal
ALB_1,ALB_1_2,6,5-9,AGE2,M,M,39,3,ALB,2A,,Oneal,"4474 Mccullough Lane
Georgeborough, PA 06412",75286,ALB,Joshua,2015-05-30,-,-,-,-,-,2022-10-08,Joshua,Oneal
ALB_1,ALB_1_3,1,0-4,AGE1,F,M,39,3,ALB,2A,,Oneal,"4474 Mccullough Lane
Georgeborough, PA 06412",75286,ALB,Carrie,2020-02-10,-,-,-,-,-,2025-05-20,Carrie,Oneal
ALB_2,ALB_2_1,39,35-39,AGE8,M,M,39,5,ALB,2A,,Berghmans,"4346 Adam Underpass
Andrewtown, SD 02034",19947,ALB,Joel,1982-05-27,louis71@hotmail.com,VISA 13 digit,2023-06-16,6011969462966649,fjackson@lane.com,2023-02-25,Joel,Berghmans
ALB_2,ALB_2_2,10,10-14,AGE3,M,M,39,5,ALB,2A,,Berghmans,"4346 Adam Underpass
Andrewtown, SD 02034",19947,ALB,Jonathan,2011-07-18,stevenbarrett@hotmail.com,-,-,-,-,2025-08-11,Jonathan,Berghmans
ALB_2,ALB_2_3,13,10-14,AGE3,M,M,39,5,ALB,2A,,Berghmans,"4346 Adam Underpass
Andrewtown, SD 02034",19947,ALB,David,2008-05-22,michelle35@yahoo.com,-,-,-,-,2024-01-01,David,Berghmans
ALB_2,ALB_2_4,5,5-9,AGE2,F,M,39,5,ALB,2A,,Berghmans,"4346 Adam Underpass
Andrewtown, SD 02034",19947,ALB,Sharon,2016-08-24,-,-,-,-,-,2022-09-12,Sharon,Berghmans
ALB_2,ALB_2_5,13,10-14,AGE3,F,M,39,5,ALB,2A,,Berghmans,"4346 Adam Underpass
Andrewtown, SD 02034",19947,ALB,Kendra,2008-03-24,wwatkins@yahoo.com,-,-,-,-,2026-06-09,Kendra,Berghmans
ALB_3,ALB_3_1,66,65-69,AGE14,M,M,66,3,ALB,3AB,,Bentley,"44177 Larry Locks
East Nicole, MO 19158",04492,ALB,Scott,1955-11-16,curtislaura@gmail.com,VISA 16 digit,2026-07-23,2251778252184877,andrewwashington@thompson-matthews.com,2024-10-03,Scott,Bentley
